n_tasks,n_tokens_per_task,n_tokens_total,mutual_info,alpha,fscore
2,6000,12000,1,1,0.7034
2,7000,14000,1,1,0.7224
2,8000,16000,1,1,0.7255
2,9000,18000,1,1,0.7293
2,10000,20000,1,1,0.745
2,20000,40000,1,1,0.7877
2,1000,2000,0.85,0.98,0.1371
2,2000,4000,0.85,0.98,0.3616
2,3000,6000,0.85,0.98,0.528
2,4000,8000,0.85,0.98,0.532
2,5000,10000,0.85,0.98,0.6126
2,6000,12000,0.85,0.98,0.674
2,7000,14000,0.85,0.98,0.6701
2,8000,16000,0.85,0.98,0.7092
2,9000,18000,0.85,0.98,0.7046
2,10000,20000,0.85,0.98,0.7169
2,20000,40000,0.85,0.98,0.7746
2,1000,2000,0.55,0.9,0.1279
2,2000,4000,0.55,0.9,0.2896
2,3000,6000,0.55,0.9,0.4122
2,4000,8000,0.55,0.9,0.4288
2,5000,10000,0.55,0.9,0.4712
2,6000,12000,0.55,0.9,0.581
2,7000,14000,0.55,0.9,0.6092
2,8000,16000,0.55,0.9,0.6137
2,9000,18000,0.55,0.9,0.6397
2,10000,20000,0.55,0.9,0.6648
2,20000,40000,0.55,0.9,0.7329
2,1000,2000,0.34,0.8,0.1014
2,2000,4000,0.34,0.8,0.2708
2,3000,6000,0.34,0.8,0.3807
2,4000,8000,0.34,0.8,0.4061
2,5000,10000,0.34,0.8,0.428
2,6000,12000,0.34,0.8,0.5047
2,7000,14000,0.34,0.8,0.5241
2,8000,16000,0.34,0.8,0.5923
2,9000,18000,0.34,0.8,0.5814
2,10000,20000,0.34,0.8,0.6159
2,20000,40000,0.34,0.8,0.6946
2,1000,2000,0,0.2,0.0646
2,2000,4000,0,0.2,0.1974
2,3000,6000,0,0.2,0.2706
2,4000,8000,0,0.2,0.2902
2,5000,10000,0,0.2,0.3158
2,6000,12000,0,0.2,0.3889
2,7000,14000,0,0.2,0.4393
2,8000,16000,0,0.2,0.4919
2,9000,18000,0,0.2,0.5381
2,10000,20000,0,0.2,0.6013
2,20000,40000,0,0.2,0.6192
5,1000,5000,0,0.2,0.0656
5,2000,10000,0,0.2,0.1167
5,3000,15000,0,0.2,0.1716
5,4000,20000,0,0.2,0.2155
5,5000,25000,0,0.2,0.2093
5,6000,30000,0,0.2,0.2943
5,7000,35000,0,0.2,0.3087
5,8000,40000,0,0.2,0.3614
5,9000,45000,0,0.2,0.4277
5,10000,50000,0,0.2,0.4302
5,20000,100000,0,0.2,0.4873
1,1000,1000,1,1,0.0798
2,1000,2000,1,1,0.114
3,1000,3000,1,1,0.3077
4,1000,4000,1,1,0.3616
5,1000,5000,1,1,0.3957
6,1000,6000,1,1,0.4915
7,1000,7000,1,1,0.51
8,1000,8000,1,1,0.5169
9,1000,9000,1,1,0.5449
10,1000,10000,1,1,0.5263
1,1000,1000,1,1,0.0621
2,1000,2000,1,1,0.1505
3,1000,3000,1,1,0.312
4,1000,4000,1,1,0.3755
5,1000,5000,1,1,0.4022
6,1000,6000,1,1,0.5032
7,1000,7000,1,1,0.5015
8,1000,8000,1,1,0.5358
9,1000,9000,1,1,0.5607
10,1000,10000,1,1,0.5597
1,1000,1000,1,1,0.059
2,1000,2000,1,1,0.1575
3,1000,3000,1,1,0.3023
4,1000,4000,1,1,0.3942
5,1000,5000,1,1,0.4134
6,1000,6000,1,1,0.5026
7,1000,7000,1,1,0.5215
